team,url,18-05-16.10:05,18-05-16.11:03,18-05-16.11:31,18-05-16.12:05,18-05-17.15:21
Team Decentralize,https://www.youtube.com/watch?v=fJJneJJgzwo,10106,10106,11930,12692,28129.0
YouRoot.io,https://www.youtube.com/watch?v=AmyVmUzp5WQ,16172,16664,17569,17765,19787.0
Nooberly,https://www.youtube.com/watch?v=IHJxo53wNvo,13308,13309,13308,14636,17755.0
Loan-Block,https://www.youtube.com/watch?v=Zxhj9Z-PnOw,13267,14762,15480,16265,17122.0
Armada,https://www.youtube.com/watch?v=enTh04mX5FQ,12610,13597,13748,15167,16819.0
Langchain,https://www.youtube.com/watch?v=3kJvpq8pcsY,12748,14134,14314,15219,16466.0
Undra,https://www.youtube.com/watch?v=cyL6khy7ipI,8033,8631,10026,10880,15931.0
DAO Axis,https://www.youtube.com/watch?v=-Mtxx3IEZLc,11240,12110,13065,13689,14537.0
Smartz,https://www.youtube.com/watch?v=7FaHxxnmiZs,13224,14086,14174,14182,14378.0
Cryptonominee,https://www.youtube.com/watch?v=WuYEgOpRlPU,10978,10995,10996,10851,13701.0
CollectiveHealth,https://www.youtube.com/watch?v=itZ4blsBIDU,12682,12682,12681,12689,12676.0
The AGE Project,https://www.youtube.com/watch?v=NcZZgCa809U,10452,10456,10455,10453,10444.0
CADChain,https://www.youtube.com/watch?v=_aizBkuaXLM,4989,7407,7712,8821,10064.0
DinoSpace,https://www.youtube.com/watch?v=KOuYLSfK9Ns,5231,5251,5251,5251,5266.0
Tala,https://www.youtube.com/watch?v=k1puM-kVqHY,2861,3055,3055,3056,4580.0
GGRocket,https://www.youtube.com/watch?v=39240ymGGpc,4385,4411,4411,4411,4409.0
LoRaChain,https://www.youtube.com/watch?v=p0QRzNIKgBs,3679,4130,4138,4140,4183.0
VIM,https://www.youtube.com/watch?v=yhUfoRapr2w,3391,3487,3528,3577,4129.0
HedgeAI,https://www.youtube.com/watch?v=drHTuiyrm10,4000,4035,4035,4036,4034.0
LetItPlay,https://www.youtube.com/watch?v=vts3kGf0Hmg,2160,2653,3150,3189,3552.0
Happy Donkey,https://www.youtube.com/watch?v=7nO_lqnsKYE,1613,2123,2623,2651,2834.0
Hclaims,https://www.youtube.com/watch?v=5-a46h9qamc,1523,2318,2327,2329,2328.0
Blockchain Lab,https://www.youtube.com/watch?v=TSo13vorP8g,2319,2319,2319,2320,2321.0
ClickBait Studio,https://www.youtube.com/watch?v=S17udesnDq8,1150,1151,1665,2121,2122.0
Bee Social,https://www.youtube.com/watch?v=QMXYG9WqS6o,1780,1789,1790,1794,1954.0
IT Sphere,https://www.youtube.com/watch?v=WxR6d83-emQ,1948,1948,1952,1952,1953.0
DelegationOne - High performing EOS Wallet,https://www.youtube.com/watch?v=8tXweZ9Y1qI,1815,1917,1917,1917,1917.0
This Coin Rocks,https://www.youtube.com/watch?v=ZR1DdBL8QDE,1582,1585,1585,1585,1584.0
Drops,https://www.youtube.com/watch?v=pAYtK087BHw,1542,1544,1544,1545,1545.0
Babel Masonary,https://www.youtube.com/watch?v=rvDr9zdsltY,1380,1380,1380,1381,1380.0
EOS FinCrowds,https://www.youtube.com/watch?v=IVIGjQkl0NQ,1082,1083,1084,1085,1096.0
Way Network,https://www.youtube.com/watch?v=65X7dlDjB3s,1069,1069,1068,1068,1076.0
Turing School,https://www.youtube.com/watch?v=SN00dKIwLrY,666,668,674,676,695.0
